Consolidacion de los Estados de Situacion Financiera,,,
Category,2025,2024,2023
Activos Corrientes,,,
Efectivo y equivalentes de efectivo,21421098,14627619,13933186
"Documentos y cuentas por cobrar, neto",47635856,48081564,50598758
Inventarios,86537964,98584841,107152979
"Inventario de materiales, piezas y repuestos",7379445,7019946,5650193
Lotes disponibles para la venta,5876049,6759518,8088976
Activos biológicos,8437671,7465217,9971872
Adelantos para compra de inventarios y granos,20196108,15363019,11953319
Gastos pagados por adelantado,1545541,1651119,2059074
Impuesto sobre la renta pagado por adelantado,1992042,828999,3768331
Otros activos,239863,228031,123508
Total de activos corrientes,201261537,201409873,213300196
,,,
Activos no Corrientes,,,
Efectivo y equivalentes de efectivo,0,1400000,0
"Documentos por cobrar, neto",11635096,11965641,11670843
"Inventario de materiales, piezas y repuestos",936271,958317,364529
"Inmuebles, mobiliarios, equipos y mejoras, neto",119820020,117719141,123764215
Activo intangible,6646648,7437220,0
"Equipo para arrendamiento, neto",2378222,3477575,3633937
"Activos por derecho de uso, neto",18860730,17883482,14989169
Propiedad de inversión,7439753,7555934,7548656
Otras inversiones,615566,615566,615566
Inversiones en subsidiarias,0,0,0
Inversión en asociadas,7176666,6760369,6419403
Activos biológicos,9133839,9128819,8596186
Fondo de cesantía,12349530,11667330,10640387
Impuesto sobre la renta diferido,420911,421341,1094422
Otros activos,676023,603877,643053
Total de activos no corrientes,198089375,197654612,189980366
Total de activos,399350912,399064485,403280562
,,,
Pasivos Corrientes,,,
Préstamos por pagar,6900000,8000000,13819186
Valores comerciales negociables,16247000,13091000,16029000
Pasivos por arrendamiento,5334463,4392972,3740937
Cuentas por pagar proveedores,29555752,32911493,36875789
Adelantos recibidos de clientes,5212186,4892938,4246512
Cuentas por pagar compañías relacionadas,42296,0,68927
Gastos acumulados y otros pasivos,7308891,7903342,7090627
Total de pasivos corrientes,70600588,71191745,81870978
,,,
Pasivos no Corrientes ,,,
Préstamos por pagar,2124600,2124600,0
Bonos por pagar,52311519,62350209,67388899
Pasivos por arrendamiento,15961760,15912188,13594963
Provisión para prima de antigüedad,10998227,10739857,10407453
Total de pasivos no corrientes,81396106,91126854,91391315
Total de pasivos,151996694,162318599,173262293
,,,
Patrimonio ,,,
Capital en acciones comunes,44553868,44725993,45077843
Utilidades no distribuidas (Déficit acumulado),201717520,190907552,183969668
Otros resultados integrales,739584,724767,645130
Total de patrimonio atribuible a los propietarios,247010972,236358312,229692641
,,,
Participación no controladora,,,
Acciones comunes,40881,40881,40881
Utilidades no distribuidas,302365,346693,284747
Total de participación no controladora,343246,387574,325628
Total de patrimonio,247354218,236745886,230018269
Total pasivos y patrimonio,399350912,399064485,403280562
,,,
,,,
Consolidacion de los Estados de Resultados y Otros Resultados Integrales,,,
Category,2025,2024,2023
Ingresos de actividades ordinarias,477606859,471286765,460436761
Otros ingresos,3273534,3049990,10430308
Cambios en el inventario,-184563589,-172621803,-172601924
Consumo de materia prima,-78107283,-86117863,-85551297
Gastos de personal,-92534638,-90003575,-84367143
Depreciación y amortización,-15968601,-15230274,-14598107
Depreciacion Activo Intangible,0,-191146,0
Depreciación activos derecho de uso,-5584457,-4881754,-3853656
Pérdida crediticia esperada,-455297,-1418031,-1432537
Otros gastos,-80604183,-81815270,-84424966
Ganancia operativa,23042365,22057039,24037439
,,,
Costos Financieros,,,
Intereses y dividendos ganados,2520005,2201801,1911252
Gasto de intereses pasivo por arrendamiento,-1199370,-1006351,-830555
Gasto de intereses pasivo por arrendamiento,-4478120,-4941802,-4658040
"Costos financieros, neto",-3157485,-3746352,-3577343
,,,
Participacion en resultados de asociadas,1203147,1225747,1650460
,,,
Utilidades antes del Impuesto sobre la renta,21088027,19536434,22110556
,,,
Impuesto sobre la renta,-5141262,-5061963,-4017612
,,,
Utilidad (perdida) neta,15946765,14474471,18092944
,,,
Otros resultados integrales,,,
Reserva para conversión de moneda extranjera,14817,79637,321093
Total de otros resultados integrales,14817,79637,321093
Total de resultados integrales,15961582,14554108,18414037
,,,
Utilidad neta atribuible a:,,,
Propietarios de la Compañía,15948821,14380143,18012824
Participaciones no controladoras,-2056,94328,80120
Total,15946765,14474471,18092944
,,,
Resultados integrales totales atribuibles a:,,,
Propietarios de la Compañía,15963638,14459780,18333917
Participaciones no controladoras,-2056,94328,80120
Total,15961582,14554108,18414037
,,,
Utilidades no distribuidas,,,
Utilidades no distribuidas (déficit acumulado) al inicio del año,190907552,183969669,174803519
Dividendos pagados,-5138853,-7442260,-8846675
Ajuste por fusión,0,0,0
Utilidad neta,15948821,14380143,18012824
Utilidades no distribuidas (déficit acumulado) al final del año,201717520,190907552,183969668
,,,
,,,
Estado Consolidado de Flujos de Efectivo,,,
Category,2025,2024,2023
Efectivo neto de actividades de operación,40668993,42335061,27582084
"Adquisición de propiedades, mobiliario y equipo",-17109401,-15891935,-16438880
Dividendos pagados,-5508708,-7091350,-7342358
